case,idx,l,r
trunc,26,00000d43,00008d63
trunc,27,00000d83,00008da3
trunc,28,00000e42,00008e62
trunc,29,00000e82,00008ea2
trunc,30,00000f42,00008f62
trunc,31,00000f82,00008fa2
trunc,32,0000104d,0000906d
trunc,33,0000108d,000090ad
trunc,34,0000114d,0000916d
trunc,35,0000118d,000091ad
trunc,36,0000124c,0000926c
trunc,37,0000128c,000092ac
trunc,38,0000134c,0000936c
trunc,39,0000138c,000093ac
ext,0,00002800,00800900
ext,1,00016a00,00814b00
ext,2,0002ac00,00828d00
ext,3,0003ee00,0083cf00
ext,4,00042000,00840100
ext,5,00056200,00854300
ext,6,0006a400,00868500
ext,7,0007e600,0087c700
ext,8,00081900,00883800
ext,9,00095b00,00897a00
ext,10,000a9d00,008abc00
ext,11,000bdf00,008bfe00
ext,12,000c1100,008c3000
ext,13,000d5300,008d7200
ext,14,000e9500,008eb400
ext,15,000fd700,008ff600
ext,16,00104a00,00906b00
ext,17,00110800,00912900
ext,18,0012ce00,0092ef00
ext,19,00138c00,0093ad00
ext,20,00144200,00946300
ext,21,00150000,00952100
ext,22,0016c600,0096e700
ext,23,00178400,0097a500
ext,24,00187b00,00985a00
ext,25,00193900,00991800
ext,26,001aff00,009ade00
ext,27,001bbd00,009b9c00
ext,28,001c7300,009c5200
ext,29,001d3100,009d1000
ext,30,001ef700,009ed600
ext,31,001fb500,009f9400
ext,32,0020ec00,00a0cd00
ext,33,0021ae00,00a18f00
ext,34,00226800,00a24900
ext,35,00232a00,00a30b00
ext,36,0024e400,00a4c500
ext,37,0025a600,00a58700
ext,38,00266000,00a64100
ext,39,00272200,00a70300
slot_trunc,0,002d0000,80290000
slot_trunc,1,00a50000,80a10000
slot_trunc,2,013d0000,81390000
slot_trunc,3,01b50000,81b10000
slot_trunc,4,020c0000,82080000
slot_trunc,5,02840000,82800000
slot_trunc,6,031c0000,83180000
slot_trunc,7,03940000,83900000
slot_trunc,8,046f0000,846b0000
slot_trunc,9,04e70000,84e30000
slot_trunc,10,057f0000,857b0000
slot_trunc,11,05f70000,85f30000
slot_trunc,12,064e0000,864a0000
slot_trunc,13,06c60000,86c20000
slot_trunc,14,075e0000,875a0000
slot_trunc,15,07d60000,87d20000
slot_trunc,16,08290000,882d0000
slot_trunc,17,08a10000,88a50000
slot_trunc,18,09390000,893d0000
slot_trunc,19,09b10000,89b50000
slot_trunc,20,0a080000,8a0c0000
slot_trunc,21,0a800000,8a840000
slot_trunc,22,0b180000,8b1c0000
slot_trunc,23,0b900000,8b940000
slot_trunc,24,0c6b0000,8c6f0000
slot_trunc,25,0ce30000,8ce70000
slot_trunc,26,0d7b0000,8d7f0000
slot_trunc,27,0df30000,8df70000
slot_trunc,28,0e4a0000,8e4e0000
slot_trunc,29,0ec20000,8ec60000
slot_trunc,30,0f5a0000,8f5e0000
slot_trunc,31,0fd20000,8fd60000
slot_trunc,32,10250000,90210000
slot_trunc,33,10ad0000,90a90000
slot_trunc,34,11350000,91310000
slot_trunc,35,11bd0000,91b90000
slot_trunc,36,12040000,92000000
slot_trunc,37,128c0000,92880000
slot_trunc,38,13140000,93100000
slot_trunc,39,139c0000,93980000
w8_drop,0,0000000f,0000008e
w8_drop,1,0000001d,0000009c
w8_drop,2,0000002b,000000aa
w8_drop,3,00000039,000000b8
w8_drop,4,00000047,000000c6
w8_drop,5,00000055,000000d4
w8_drop,6,00000063,000000e2
w8_drop,7,00000071,000000f0
w8_drop,8,0000000f,0000008e
w8_drop,9,0000001d,0000009c
w8_drop,10,0000002b,000000aa
w8_drop,11,00000039,000000b8
w8_drop,12,00000055,000000d4
w8_drop,13,00000063,000000e2
w8_drop,14,00000071,000000f0
w8_drop,15,0000000f,0000008e
w8_drop,16,0000001d,0000009c
w8_drop,17,0000002b,000000aa
w8_drop,18,00000039,000000b8
w8_drop,19,00000047,000000c6
w8_drop,20,00000055,000000d4
w8_drop,21,00000063,000000e2
w8_drop,22,00000071,000000f0
w8_drop,23,0000000f,0000008e
w8_drop,24,0000001d,0000009c
w8_drop,25,0000002b,000000aa
w8_drop,26,00000039,000000b8
w8_drop,27,00000047,000000c6
w8_drop,28,00000055,000000d4
w8_drop,29,00000063,000000e2
nolock,0,0000eb42,0000dd18
nolock,1,000098b1,0000c36d
nolock,2,0000b46b,0000b279
nolock,3,0000af88,00002517
nolock,4,0000b808,0000c663
nolock,5,00009c1b,00003234
nolock,6,0000cf6d,0000a9c6
nolock,7,000098be,0000ead9
nolock,8,0000eed1,00002eb5
nolock,9,000017a4,0000f9dd
nolock,10,00000028,00008009
nolock,11,0000016a,0000814b
nolock,12,0000b8f6,0000c424
nolock,13,000002ac,0000828d
nolock,14,000003ee,000083cf
nolock,15,0000691a,0000ce75
nolock,16,00000420,00008401
nolock,17,00000562,00008543
nolock,18,0000352d,000050a5
nolock,19,000006a4,00008685
nolock,20,000007e6,000087c7
nolock,21,0000585f,000039b8
nolock,22,00000819,00008838
nolock,23,0000095b,0000897a
nolock,24,00009991,0000b76a
nolock,25,00000a9d,00008abc
nolock,26,00000bdf,00008bfe
nolock,27,000099c3,0000b103
nolock,28,00000c11,00008c30
nolock,29,00000d53,00008d72
nolock,30,00001ed2,0000696f
nolock,31,00000e95,00008eb4
nolock,32,00000fd7,00008ff6
nolock,33,00000dc6,0000f3a1
nolock,34,0000104a,0000906b
nolock,35,00001108,00009129
nolock,36,000074db,00001291
nolock,37,000012ce,000092ef
nolock,38,0000138c,000093ad
nolock,39,00007309,00004aa6
